Address,Type,Datetime,Latitude,Longitude
517 3rd Av,Trans to AMR,05/11/2016 10:11:00 PM +0000,47.602172,-122.330863
1350 Ne Campus Pkwy,Aid Response,05/12/2016 12:44:00 AM +0000,47.65622,-122.313829
Sb I5 At 117,MVI Freeway,05/12/2016 01:30:00 AM +0000,47.713612,-122.327503
914 E Jefferson St,Medic Response,05/12/2016 03:24:00 AM +0000,47.606212,-122.320559
E Mercer St / Broadway E,Aid Response,05/12/2016 03:36:00 AM +0000,47.624269,-122.320942
9440 27th Av Sw,Aid Response,05/12/2016 04:41:00 AM +0000,47.518457,-122.367275
9536 Ashworth Av N,Aid Response,05/12/2016 02:11:00 AM +0000,47.698111,-122.339707
10500 51st Av S,Dumpster Fire,05/12/2016 02:28:00 AM +0000,47.506583,-122.270133
1720 E Olive St,Trans to AMR,05/12/2016 02:29:00 AM +0000,47.616442,-122.309884
400 S Washington St,Aid Response,05/12/2016 02:39:00 AM +0000,47.600875,-122.328963
2119 3rd Av,Aid Response,05/12/2016 04:15:00 AM +0000,47.613308,-122.342432
416 Federal Av E,Aid Response,05/12/2016 04:26:00 AM +0000,47.622152,-122.318871
420 Blanchard St,Auto Fire Alarm,05/12/2016 04:36:00 AM +0000,47.614736,-122.342459
